Sample ID,Al,B,Ca,Cd,Cr,Cu,Fe,K,Mg,Mn,Na,Ni,P,Pb,Zn
Units,( mg/kg ),( mg/kg ),( mg/kg ),( mg/kg ),( mg/kg ),( mg/kg ),( mg/kg ),( mg/kg ),( mg/kg ),( mg/kg ),( mg/kg ),( mg/kg ),( mg/kg ),( mg/kg ),( mg/kg )
,,,,,,,,,,,,,,,
1,2562.7,10.890,1304.5,0.021,7.148,2.537,7748.8,205.20,2610.3,564.64,64.861,8.103,205.27,1.841,22.504
2,2149.4,7.686,1296.3,0.025,5.719,5.475,4991.9,204.43,2143.9,81.561,68.997,7.741,135.63,4.429,17.562
3,1231.7,6.856,891.90,0.084,6.241,3.331,3583.6,147.58,751.25,103.09,43.007,3.767,128.52,3.421,10.091
4,2462.5,6.086,1171.0,0.011,9.423,4.626,4452.5,188.73,1251.5,159.79,55.179,5.782,142.10,2.571,10.461
5,2287.1,5.550,1360.3,0.001,6.013,4.172,8447.1,180.70,1707.9,151.52,55.838,6.982,291.44,14.181,16.388
6,2557.1,5.407,3116.6,0.003,6.991,4.338,7669.0,405.80,2263.0,178.53,68.304,8.544,237.91,3.961,14.700
7,2105.5,4.303,1791.0,-0.002,8.280,4.593,6652.4,211.88,1625.1,570.29,76.655,6.316,218.29,1.644,15.080
8,3538.7,4.181,1909.3,-0.036,14.571,8.338,17495,349.65,2300.6,299.65,152.81,10.064,419.35,12.340,27.763
9,2363.4,3.431,1286.0,-0.009,6.108,2.327,11953,209.86,1378.8,417.09,62.424,6.459,246.58,2.155,26.790
10,3801.9,7.511,2266.8,-0.023,16.274,7.681,21808,335.60,2561.9,652.72,201.80,11.608,347.25,69.556,32.151
11,2123.9,4.921,1327.7,0.030,6.706,1.733,7728.0,181.52,885.72,187.75,64.575,4.661,248.86,9.228,8.718
12,2169.2,4.070,2729.7,0.022,7.721,1.603,17254,212.25,1209.0,510.51,56.307,5.514,360.71,3.979,15.927
13,1540.6,3.189,921.64,0.006,5.597,2.159,10029,196.40,1031.7,142.15,109.23,5.060,246.82,2.764,10.914
14,1394.8,3.039,4067.2,0.028,4.566,1.187,4513.9,214.69,2139.8,460.54,74.084,3.839,204.83,2.403,11.276
15,1843.1,3.458,12856,0.072,6.300,2.153,6781.2,237.62,1584.0,918.04,101.09,4.445,391.11,2.362,15.122
16,1493.1,3.226,1895.0,0.035,4.945,1.235,10768,161.96,934.15,1368.2,85.143,4.180,371.61,2.961,8.821
17,6318.1,6.652,9971.5,0.064,19.411,11.623,29893,716.68,5118.9,3390.6,181.70,16.600,962.40,9.202,34.391
18,2526.3,2.599,1871.2,0.002,9.878,3.077,10054,209.89,1999.8,198.66,53.325,7.923,258.85,2.455,21.477
19,5191.5,2.796,1447.3,-0.020,10.909,8.597,16266,276.53,2058.4,109.53,61.355,14.373,442.84,5.440,30.799
20,2722.8,2.744,2459.6,0.000,9.041,6.304,11026,284.39,2095.3,267.35,69.058,10.100,528.43,3.524,20.454
21,845.16,2.853,735.79,0.030,4.622,1.315,2343.7,130.72,596.78,115.68,36.901,3.121,103.76,1.130,4.751
22,1600.9,2.241,1109.2,-0.008,5.202,1.628,10602,131.10,1231.2,142.99,38.101,5.087,275.98,1.860,14.362
23,1935.6,1.941,1713.2,0.047,5.935,5.240,7249.4,182.61,1348.6,219.60,45.381,7.417,269.47,3.317,14.756
24,1225.0,1.984,5864.5,-0.003,4.851,2.711,4881.1,215.41,3264.1,144.27,76.786,3.882,320.84,2.541,9.346
25,1465.2,1.510,1798.8,-0.022,4.908,2.247,5169.0,1138.6,1400.5,72.160,77.244,5.128,130.10,5.992,10.357
26,3794.5,2.498,3131.8,-0.007,12.849,9.842,14193,448.49,3704.6,240.45,183.86,12.283,301.32,17.367,32.827
27,1826.8,1.218,3168.2,0.066,6.693,5.302,6495.4,215.97,1710.2,129.54,59.257,7.294,203.69,3.177,10.382
28,10263,6.992,13944,0.243,25.517,12.015,20964,1112.9,4990.0,1482.4,109.98,16.621,1030.6,13.404,55.582
29,1218.3,1.657,10265,0.014,4.130,1.011,4747.7,191.55,2856.6,254.74,31.351,4.542,222.07,3.565,10.174
30,846.47,0.542,1978.8,0.026,4.077,0.656,5409.1,120.09,1447.4,142.07,38.525,3.176,104.10,2.479,8.535
